Longitude,Latitude
-52.53648717151142,-11.000005401336159
-52.52615654574404,-11.00009523286457
-52.57304860357508,-11.000185064392982
-52.73537417541548,-11.000274895921393
-52.601435366553254,-11.000274895921393
-52.86580955466963,-11.000364727449806
-52.754598122495636,-11.000364727449806
-52.63494252665092,-11.000364727449806
-52.51268181648225,-11.000364727449806
-52.777684825297506,-11.000454558978218
-52.655334283600425,-11.000454558978218
-52.53388205718747,-11.000454558978218
-52.79924439211638,-11.00054439050663
-52.674917556794234,-11.00054439050663
-52.5536449934381,-11.00054439050663
-52.827720986622964,-11.000634222035043
-52.71884517418768,-11.000634222035043
-52.569994331609074,-11.000634222035043
-52.846136449947416,-11.000724053563454
-52.73770979515419,-11.000724053563454
-52.602872671007844,-11.000724053563454
-52.86383326104457,-11.000813885091866
-52.753340481097865,-11.000813885091866
-52.63242724385538,-11.000813885091866
-52.88144024061331,-11.000903716620277
-52.771666112893904,-11.000903716620277
-52.64895624508318,-11.000903716620277
-52.52409042059057,-11.000903716620277
-52.788195114121706,-11.00099354814869
-52.66422760491321,-11.00099354814869
-52.53855329666489,-11.00099354814869
-52.815953056401,-11.001083379677102
-52.70671791785207,-11.001083379677102
-52.55490263483586,-11.001083379677102
-52.83140407928785,-11.001173211205513
-52.72243843532416,-11.001173211205513
-52.568826521739716,-11.001173211205513
-52.846316113004235,-11.001263042733925
-52.73672164834166,-11.001263042733925
-52.60071671432596,-11.001263042733925
-52.86266545117521,-11.001352874262338
-52.75100486135916,-11.001352874262338
-52.6310797709292,-11.001352874262338
-52.87730799030636,-11.00144270579075
-52.76870167245631,-11.00144270579075
-52.64671045687288,-11.00144270579075
-52.51843103430061,-11.00144270579075
-52.78379336922952,-11.00153253731916
-52.66449709949845,-11.00153253731916
-52.535678687755706,-11.00153253731916
-52.81496490958847,-11.001622368847574
-52.70833488536348,-11.001622368847574
-52.55678909693252,-11.001622368847574
-52.83508717195274,-11.001712200375986
-52.72809782161411,-11.001712200375986
-52.5754740548422,-11.001712200375986
-52.85817387475461,-11.001802031904397
-52.747681094807916,-11.001802031904397
-52.6265881945086,-11.001802031904397
-52.87676900113589,-11.001891863432808
-52.76780335717219,-11.001891863432808
-52.644644331719405,-11.001891863432808
-52.518970023471084,-11.001891863432808
-52.78783578800806,-11.001981694961222
-52.666293730066684,-11.001981694961222
-52.53819397055124,-11.001981694961222
-52.8197259805943,-11.002071526489633
-52.712826461784076,-11.002071526489633
-52.56101117876788,-11.002071526489633
-52.84272285186776,-11.002161358018045
-52.735464006943886,-11.002161358018045
-52.5942488442803,-11.002161358018045
-52.867067196067396,-11.002251189546456
-52.758820204330995,-11.002251189546456
-52.63494252665092,-11.002251189546456
-53.31344006074639,-11.00234102107487
-52.78037977114987,-11.00234102107487
-52.656771588055015,-11.00234102107487
-52.52983963840893,-11.00234102107487
-52.81379709971911,-11.00243085260328
-52.68911093828332,-11.00243085260328
-52.553106004267626,-11.00243085260328
-52.83589565570845,-11.002520684131692
-52.72863681078458,-11.002520684131692
-52.57754017999568,-11.002520684131692
-52.862306125061565,-11.002610515660106
-52.751723513586455,-11.002610515660106
-52.62964246647461,-11.002610515660106
-52.8888962574715,-11.002700347188517
-52.77930179280892,-11.002700347188517
-52.65641226194137,-11.002700347188517
-52.533792225659056,-11.002700347188517
-52.81739036085559,-11.002790178716928
-52.69225504177774,-11.002790178716928
-52.55993320042693,-11.002790178716928
-52.845148303134884,-11.00288001024534
-52.73735046904054,-11.00288001024534
-52.59945907292819,-11.00288001024534
-52.87101978331752,-11.002969841773753
-52.76313211769477,-11.002969841773753
-52.64024258682722,-11.002969841773753
-52.514747941635726,-11.002969841773753
-52.790440902332,-11.003059673302165
-52.66827002369175,-11.003059673302165
-52.541427905574075,-11.003059673302165
-52.82664300828202,-11.003149504830576
-52.71911466877291,-11.003149504830576
-52.56631123894418,-11.003149504830576
-52.854670445146546,-11.003239336358988
-52.74426749672826,-11.003239336358988
-52.61922200917882,-11.003239336358988
-52.882069061312194,-11.0033291678874
-52.77040847149614,-11.0033291678874
-52.647608772157,-11.0033291678874
-52.520856485567734,-11.0033291678874
-52.798435908360666,-11.003418999415812
-52.67374974692488,-11.003418999415812
-52.54825510173338,-11.003418999415812
-52.83535666653798,-11.003508830944224
-52.72818765314252,-11.003508830944224
-52.582930071700396,-11.003508830944224
-52.863024777288864,-11.003598662472637
-52.7543286279104,-11.003598662472637
-52.63251707538379,-11.003598662472637
-52.89437598070463,-11.003688494001048
-52.7859493259114,-11.003688494001048
-52.660634343776735,-11.003688494001048
-52.53244475273288,-11.003688494001048
-52.82251075797507,-11.00377832552946
-52.69881274335181,-11.00377832552946
-52.56020269501217,-11.00377832552946
-52.85188566776578,-11.003868157057871
-52.746243790353326,-11.003868157057871
-52.622455944201654,-11.003868157057871
-52.88826743677262,-11.003957988586285
-52.780469602678274,-11.003957988586285
-52.65784956639596,-11.003957988586285
-52.53316340496017,-11.003957988586285
-52.82331924173078,-11.004047820114696
-52.70016021627799,-11.004047820114696
-52.5641552822623,-11.004047820114696
-52.856107749601144,-11.004137651643108
-52.74974721996139,-11.004137651643108
-52.628205162020016,-11.004137651643108
-52.8896149096988,-11.00422748317152
-52.782715390888576,-11.00422748317152
-52.65901737626532,-11.00422748317152
-52.532085426619226,-11.00422748317152
-52.82403789395807,-11.004317314699932
-52.69998055322117,-11.004317314699932
-52.56388578767706,-11.004317314699932
-52.857275559470494,-11.004407146228344
-52.75262182887057,-11.004407146228344
-52.63188825468491,-11.004407146228344
-52.89599294821605,-11.004496977756755
-52.79035107080359,-11.004496977756755
-52.6701564857884,-11.004496977756755
-52.54493133518214,-11.004496977756755
-52.83912959073128,-11.004586809285168
-52.73501484930183,-11.004586809285168
-52.61167616079222,-11.004586809285168
-52.877577484891596,-11.00467664081358
-52.77202543900756,-11.00467664081358
-52.65192068552077,-11.00467664081358
-52.5243599151758,-11.00467664081358
-52.82026496976477,-11.004766472341991
-52.69575847138581,-11.004766472341991
-52.56163999946676,-11.004766472341991
-52.85835353781144,-11.004856303870403
-52.75369980721152,-11.004856303870403
-52.63251707538379,-11.004856303870403
-52.897609915727465,-11.004946135398816
-52.79205786984342,-11.004946135398816
-52.6686293498054,-11.004946135398816
-52.54277537850025,-11.004946135398816
-52.84119571588476,-11.005035966927228
-52.73591316458595,-11.005035966927228
-52.59703362166107,-11.005035966927228
-52.87811647406207,-11.005125798455639
-52.77157628136549,-11.005125798455639
-52.64500365783305,-11.005125798455639
-52.51483777316413,-11.005125798455639
-52.81685137168512,-11.005215629984052
-52.684709193391136,-11.005215629984052
-52.54969240618797,-11.005215629984052
-52.85107718401007,-11.005305461512464
-52.745974295768086,-11.005305461512464
-52.61140666620698,-11.005305461512464
-52.88718945843168,-11.005395293040875
-52.78208657018969,-11.005395293040875
-52.65219018010601,-11.005395293040875
-52.523551431420096,-11.005395293040875
-52.827271828980905,-11.005485124569287
-52.69692628125516,-11.005485124569287
-52.556699265404106,-11.005485124569287
-52.86167730436268,-11.0055749560977
-52.758820204330995,-11.0055749560977
-52.62137796586071,-11.0055749560977
-52.89841839948317,-11.005664787626111
-52.79690877237766,-11.005664787626111
-52.663958110327975,-11.005664787626111
-52.53819397055124,-11.005664787626111
-52.84559746077694,-11.005754619154523
-52.741213224762255,-11.005754619154523
-52.59245221371206,-11.005754619154523
-52.88054192532919,-11.005844450682934
-52.77804415141115,-11.005844450682934
-52.64114090211134,-11.005844450682934
-52.512052995783364,-11.005844450682934
-52.82358873631601,-11.005934282211348
-52.687493970771904,-11.005934282211348
-52.54888392243227,-11.005934282211348
-52.85646707571479,-11.006024113739759
-52.75199300817169,-11.006024113739759
-52.60826256271257,-11.006024113739759
-52.88862676288627,-11.00611394526817
-52.785769662854584,-11.00611394526817
-52.64473416324782,-11.00611394526817
-52.51699372984602,-11.00611394526817
-52.82817014426502,-11.006203776796584
-52.68902110675491,-11.006203776796584
-52.55112971064256,-11.006203776796584
-52.85907219003874,-11.006293608324995
-52.75396930179675,-11.006293608324995
-52.606286269087505,-11.006293608324995
-52.88691996384644,-11.006383439853407
-52.78433235839999,-11.006383439853407
-52.64078157599769,-11.006383439853407
-53.338682720230146,-11.006473271381818
-52.82376839937284,-11.006473271381818
-52.683721046578604,-11.006473271381818
-52.543314367670725,-11.006473271381818
-52.85242465693625,-11.006563102910231
-52.747681094807916,-11.006563102910231
-52.56981466855225,-11.006563102910231
-52.878475800175714,-11.006652934438643
-52.775528868615616,-11.006652934438643
-52.63116960245761,-11.006652934438643
-52.90749138385278,-11.006742765967054
-52.81694120321353,-11.006742765967054
-52.66620389853827,-11.006742765967054
-52.537115992210296,-11.006742765967054
-52.84721442828836,-11.006832597495466
