Longitude,Latitude
-53.306433201530254,-11.020037832172024
-53.30634337000185,-11.020127663700436
-53.30607387541661,-11.020127663700436
-53.30292977192219,-11.020127663700436
-53.305534886246136,-11.020307326757258
-53.304546739433604,-11.020307326757258
-53.305534886246136,-11.020397158285672
-53.304546739433604,-11.020397158285672
-53.30589421235978,-11.020486989814083
-53.305804380831376,-11.020486989814083
-53.30463657096202,-11.020666652870908
-53.30337892956425,-11.02075648439932
-53.30616370694502,-11.020936147456142
-53.30445690790519,-11.021025978984555
-53.304367076376785,-11.021115810512967
-53.30652303305867,-11.021205642041378
-53.304367076376785,-11.021205642041378
-53.30652303305867,-11.021295473569792
-53.304367076376785,-11.021295473569792
-53.304367076376785,-11.021385305098203
-53.36644066250944,-11.021475136626615
-53.304367076376785,-11.021475136626615
-53.36554234722532,-11.021564968155026
-53.30445690790519,-11.02165479968344
-53.305355223189316,-11.021834462740262
-53.363745716657085,-11.02264294649597
-53.30319926650743,-11.02264294649597
-53.303109434979014,-11.02264294649597
-53.30319926650743,-11.022732778024382
-53.303109434979014,-11.022732778024382
-53.3030196034506,-11.022732778024382
-53.3030196034506,-11.022822609552794
-53.30292977192219,-11.022822609552794
-53.36284740137296,-11.023002272609618
-53.36284740137296,-11.02309210413803
-53.30292977192219,-11.023451430251678
-53.30275010886537,-11.023631093308502
-53.30257044580854,-11.023631093308502
-53.30257044580854,-11.023720924836914
-53.36302706442979,-11.023900587893737
-53.361050770804724,-11.023900587893737
-53.36302706442979,-11.02399041942215
-53.361050770804724,-11.02399041942215
-53.36212874914567,-11.024080250950561
-53.36329655901502,-11.024170082478973
-53.36320672748661,-11.024170082478973
-53.30113314135395,-11.024170082478973
-53.30041448912666,-11.024170082478973
-53.300324657598246,-11.024170082478973
-53.30185179358125,-11.024259914007386
-53.30041448912666,-11.024259914007386
-53.36185925456043,-11.024349745535797
-53.30517556013249,-11.024349745535797
-53.36257790678773,-11.024439577064209
-53.30131280441078,-11.02452940859262
-53.30499589707566,-11.024978566234681
-53.359164308708074,-11.025248060819917
-53.35898464565125,-11.025787049990388
-53.30490606554725,-11.0258768815188
-53.357457509668244,-11.026056544575624
-53.357277846611424,-11.026056544575624
-53.35646936285571,-11.02632603916086
-53.30463657096202,-11.026415870689272
-53.35772700425348,-11.026685365274508
-53.29062285252975,-11.028661658899571
-53.28658043375121,-11.029470142655278
-53.29107201017181,-11.029649805712102
-53.290712684058164,-11.030548120996222
-53.28909571654675,-11.030548120996222
-53.28900588501834,-11.030548120996222
-53.29295847226847,-11.03090744710987
-53.29295847226847,-11.030997278638282
-53.28927537960357,-11.031087110166693
-53.2932279668537,-11.031176941695106
-53.29206015698434,-11.031176941695106
-53.29268897768323,-11.03135660475193
-53.287658412092156,-11.03144643628034
-53.28864655890469,-11.031626099337165
-53.288377064319455,-11.03180576239399
-53.288377064319455,-11.031895593922401
-53.29017369488769,-11.032434583092872
-53.29008386335928,-11.032434583092872
-53.288826221961514,-11.032434583092872
-53.29295847226847,-11.032524414621285
-53.29143133628546,-11.032524414621285
-53.290712684058164,-11.032524414621285
-53.28586178152392,-11.032883740734933
-53.29439577672306,-11.032973572263344
-53.294305945194644,-11.032973572263344
-53.29206015698434,-11.032973572263344
-53.29439577672306,-11.033063403791756
-53.294305945194644,-11.033063403791756
-53.2887363904331,-11.033063403791756
-53.28846689584787,-11.033782056019053
-53.29107201017181,-11.034051550604287
-53.28559228693868,-11.0341413821327
-53.285502455410274,-11.0341413821327
-53.285232960825034,-11.0341413821327
-53.29664156493335,-11.034231213661112
-53.28828723279104,-11.034410876717935
-53.286670265279625,-11.034680371303171
-53.286221107637566,-11.034680371303171
-53.29062285252975,-11.034770202831584
-53.2894550426604,-11.034770202831584
-53.28936521113199,-11.034770202831584
-53.288377064319455,-11.034770202831584
-53.28631093916598,-11.034770202831584
-53.286221107637566,-11.034770202831584
-53.284334645540916,-11.034770202831584
-53.29601274423447,-11.034860034359996
-53.29107201017181,-11.034860034359996
-53.290982178643404,-11.034860034359996
-53.28954487418881,-11.034860034359996
-53.2894550426604,-11.034860034359996
-53.284334645540916,-11.034860034359996
-53.28819740126263,-11.035039697416819
-53.288107569734215,-11.035039697416819
-53.28774824362057,-11.035039697416819
-53.28774824362057,-11.035129528945232
-53.28864655890469,-11.035309192002055
-53.28864655890469,-11.035399023530466
-53.28963470571722,-11.03548885505888
-53.287388917506924,-11.03548885505888
-53.29017369488769,-11.035578686587291
-53.287658412092156,-11.035758349644116
-53.28577194999551,-11.035758349644116
-53.28702959139328,-11.036207507286175
-53.28541262388186,-11.036207507286175
-53.28702959139328,-11.036297338814586
-53.28541262388186,-11.036297338814586
-53.28702959139328,-11.036387170342998
-53.28577194999551,-11.036477001871411
-53.28415498248409,-11.036477001871411
-53.28469397165456,-11.036566833399823
-53.28460414012615,-11.036566833399823
-53.284334645540916,-11.036656664928234
-53.28631093916598,-11.036836327985059
-53.28801773820581,-11.037285485627118
-53.287927906677396,-11.037285485627118
-53.36805763002086,-11.038004137854413
-53.36805763002086,-11.038093969382826
-53.36805763002086,-11.038183800911238
-53.2842448140125,-11.038453295496474
-53.2827176780295,-11.038453295496474
-53.2842448140125,-11.038543127024885
-53.28307700414315,-11.038543127024885
-53.2842448140125,-11.038632958553297
-53.28298717261474,-11.038632958553297
-53.284783803182975,-11.03872279008171
-53.28325666719997,-11.039082116195358
-53.282897341086326,-11.039082116195358
-53.28280750955791,-11.039082116195358
